Time (ns) ,Number of positrons
25289.4,4826720
25438.6,4599400
25587.8,4297430
25737,3981480
25886.2,3659650
26035.4,3351680
26184.6,3076500
26333.8,2831150
26483,2636800
26632.2,2498780
26781.4,2421840
26930.6,2412920
27079.8,2463530
27229,2575730
27378.2,2750690
27527.4,2967860
27676.6,3225860
27825.8,3503720
27975,3793630
28124.2,4080940
28273.4,4354290
28422.6,4602680
28571.8,4808870
28721,4966380
28870.2,5064720
29019.4,5107300
29168.6,5077970
29317.8,4989990
29467,4840710
29616.2,4636080
29765.4,4385350
29914.6,4111100
30063.8,3811180
30213,3505280
30362.2,3209090
30511.4,2934050
30660.6,2692030
30809.8,2493730
30959,2349840
31108.2,2263210
31257.4,2238560
31406.6,2277620
31555.8,2373690
31705,2523700
31854.2,2723140
32003.4,2958660
32152.6,3219570
32301.8,3491770
32451,3767130
32600.2,4028650
32749.4,4256520
32898.6,4462610
33047.8,4615170
33197,4712140
33346.2,4754000
33495.4,4740180
33644.6,4667310
33793.8,4538310
33943,4365180
34092.2,4146750
34241.4,3900060
34390.6,3629740
34539.8,3352710
34689,3077680
34838.2,2817180
34987.4,2582160
35136.6,2389650
35285.8,2235200
35435,2141240
35584.2,2099020
35733.4,2115950
35882.6,2187330
36031.8,2311770
36181,2481330
36330.2,2695180
36479.4,2933460
36628.6,3182040
36777.8,3438110
36927,3694690
37076.2,3922890
37225.4,4129180
37374.6,4288900
37523.8,4399250
37673,4461800
37822.2,4461300
37971.4,4407760
38120.6,4293250
38269.8,4140220
38419,3937190
38568.2,3703300
38717.4,3452000
38866.6,3188510
39015.8,2925880
39165,2678350
39314.2,2451560
39463.4,2266700
39612.6,2115730
39761.8,2016190
39911,1966220
40060.2,1972650
40209.4,2029300
40358.6,2136280
40507.8,2285360
40657,2475880
40806.2,2686720
40955.4,2925880
41104.6,3156120
41253.8,3392250
41403,3605960
41552.2,3798650
41701.4,3952490
41850.6,4070330
41999.8,4132420
42149,4155680
42298.2,4118780
42447.4,4042550
42596.6,3908090
42745.8,3738500
42895,3533640
43044.2,3301350
43193.4,3058000
43342.6,2812600
43491.8,2572870
43641,2353140
43790.2,2162280
43939.4,2009620
44088.6,1900620
44237.8,1839570
44387,1827990
44536.2,1867880
44685.4,1956720
44834.6,2087770
44983.8,2257640
45133,2459350
45282.2,2673320
45431.4,2900930
45580.6,3126330
45729.8,3336420
45879,3526590
46028.2,3678500
46177.4,3794450
46326.6,3863890
46475.8,3889620
46625,3867360
46774.2,3795850
46923.4,3676090
47072.6,3523460
47221.8,3337780
47371,3129580
47520.2,2906590
47669.4,2678120
47818.6,2454020
47967.8,2248150
48117,2068310
48266.2,1915960
48415.4,1806600
48564.6,1734830
48713.8,1713550
48863,1740000
49012.2,1810300
49161.4,1919160
49310.6,2067340
49459.8,2243020
49609,2434780
49758.2,2645160
49907.4,2854610
50056.6,3052950
50205.8,3235510
50355,3393180
50504.2,3516880
50653.4,3600120
50802.6,3638000
50951.8,3631990
51101,3580120
51250.2,3483540
51399.4,3346480
51548.6,3178840
51697.8,2982200
51847,2773350
51996.2,2559760
52145.4,2344120
52294.6,2143440
52443.8,1965060
52593,1813770
52742.2,1701130
52891.4,1628000
53040.6,1597550
53189.8,1610460
53339,1670440
53488.2,1765550
53637.4,1898710
53786.6,2058060
53935.8,2239600
54085,2434940
54234.2,2628050
54383.4,2817290
54532.6,2985050
54681.8,3137110
54831,3256410
54980.2,3338110
55129.4,3381170
55278.6,3386110
55427.8,3344990
55577,3267360
55726.2,3157380
55875.4,3006010
56024.6,2838850
56173.8,2647550
56323,2448060
56472.2,2248140
56621.4,2058260
56770.6,1884310
56919.8,1736300
57069,1619920
57218.2,1539730
57367.4,1497560
57516.6,1497810
57665.8,1539580
57815,1618870
57964.2,1731960
58113.4,1874800
58262.6,2038340
58411.8,2220850
58561,2402980
58710.2,2586820
58859.4,2756380
59008.6,2906520
59157.8,3029390
59307,3114090
59456.2,3169940
59605.4,3184330
59754.6,3149310
59903.8,3085560
60053,2981430
60202.2,2845070
60351.4,2685260
60500.6,2510360
60649.8,2324040
60799,2139730
60948.2,1958570
61097.4,1794760
61246.6,1651720
61395.8,1536860
61545,1454970
61694.2,1409700
61843.4,1402970
61992.6,1432250
62141.8,1496280
62291,1594760
62440.2,1722800
62589.4,1867490
62738.6,2032870
62887.8,2200160
63037,2370630
63186.2,2528110
63335.4,2672590
63484.6,2788030
63633.8,2882620
63783,2942690
63932.2,2966680
64081.4,2951890
64230.6,2900720
64379.8,2818150
64529,2703140
64678.2,2562150
64827.4,2397970
64976.6,2227090
65125.8,2049880
65275,1877680
65424.2,1715780
65573.4,1574650
65722.6,1459350
65871.8,1368550
66021,1319870
66170.2,1300990
66319.4,1321060
66468.6,1372980
66617.8,1459920
66767,1574770
66916.2,1711060
67065.4,1860380
67214.6,2024060
67363.8,2181380
67513,2337060
67662.2,2472550
67811.4,2590200
67960.6,2680150
68109.8,2741440
68259,2769990
68408.2,2758540
68557.4,2718040
68706.6,2643620
68855.8,2543320
69005,2419420
69154.2,2273810
69303.4,2119010
69452.6,1957050
69601.8,1794640
69751,1643980
69900.2,1507400
70049.4,1394100
70198.6,1305650
70347.8,1247100
70497,1219700
70646.2,1232270
70795.4,1270750
70944.6,1341350
71093.8,1439300
71243,1557840
71392.2,1697740
71541.4,1842800
71690.6,1992330
71839.8,2136310
71989,2274840
72138.2,2394200
72287.4,2487230
72436.6,2554850
72585.8,2591400
72735,2593680
72884.2,2565570
73033.4,2502570
73182.6,2410530
73331.8,2299400
73481,2164960
73630.2,2018150
73779.4,1866550
73928.6,1711750
74077.8,1566780
74227,1433950
74376.2,1320840
74525.4,1233180
74674.6,1173680
74823.8,1143500
74973,1144770
75122.2,1176410
75271.4,1238180
75420.6,1324120
75569.8,1432830
75719,1558210
75868.2,1691450
76017.4,1831550
76166.6,1966600
76315.8,2093290
76465,2205080
76614.2,2297990
76763.4,2366120
76912.6,2403280
77061.8,2417270
77211,2397250
77360.2,2354430
77509.4,2277050
77658.6,2184110
77807.8,2058270
77957,1928120
78106.2,1783490
78255.4,1643560
78404.6,1504910
78553.8,1375010
78703,1260540
78852.2,1173220
79001.4,1109470
79150.6,1073960
79299.8,1062920
79449,1085950
79598.2,1135000
79747.4,1209450
79896.6,1306140
80045.8,1421590
80195,1547910
80344.2,1677200
80493.4,1809120
80642.6,1930220
80791.8,2042520
80941,2135160
81090.2,2207140
81239.4,2249680
81388.6,2265530
81537.8,2251270
81687,2212610
81836.2,2143260
81985.4,2057650
82134.6,1946630
82283.8,1826020
82433,1698280
82582.2,1564030
82731.4,1432000
82880.6,1311320
83029.8,1205830
83179,1116000
83328.2,1050880
83477.4,1012790
83626.6,996492
83775.8,1009600
83925,1050240
84074.2,1113320
84223.4,1196640
84372.6,1298500
84521.8,1411130
84671,1533280
84820.2,1652390
84969.4,1766450
85118.6,1875140
85267.8,1968340
85417,2038970
85566.2,2090820
85715.4,2115030
85864.6,2112110
86013.8,2083120
86163,2029000
86312.2,1952320
86461.4,1854700
86610.6,1743970
86759.8,1621100
86909,1496900
87058.2,1373780
87207.4,1253110
87356.6,1147870
87505.8,1061030
87655,994367
87804.2,948612
87953.4,929428
88102.6,936068
88251.8,967062
88401,1023320
88550.2,1100100
88699.4,1191040
88848.6,1295860
88997.8,1406200
89147,1522670
89296.2,1632600
89445.4,1734720
89594.6,1820720
89743.8,1891170
89893,1941290
90042.2,1967020
90191.4,1970120
90340.6,1947330
90489.8,1903350
90639,1839310
90788.2,1752720
90937.4,1652780
91086.6,1542010
91235.8,1429200
91385,1313740
91534.2,1203130
91683.4,1099180
91832.6,1014130
91981.8,944980
92131,896942
92280.2,871996
92429.4,871994
92578.6,893379
92727.8,938568
92877,1003970
93026.2,1084630
93175.4,1180160
93324.6,1284440
93473.8,1391450
93623,1496140
93772.2,1598570
93921.4,1683290
94070.6,1757450
94219.8,1810200
94369,1841040
94518.2,1849750
94667.4,1832760
94816.6,1796570
94965.8,1738290
95115,1660870
95264.2,1568300
95413.4,1466690
95562.6,1357940
95711.8,1252320
95861,1145910
96010.2,1048910
96159.4,965732
96308.6,896560
96457.8,846502
96607,819115
96756.2,813492
96905.4,830650
97054.6,868986
97203.8,923533
97353,995571
97502.2,1085000
97651.4,1178610
97800.6,1273500
97949.8,1372500
98099,1465360
98248.2,1549160
98397.4,1620110
98546.6,1670090
98695.8,1706400
98845,1723160
98994.2,1715200
99143.4,1690900
99292.6,1640880
99441.8,1575200
99591,1494480
99740.2,1399970
99889.4,1300620
100039,1200030
100188,1098550
100337,1003370
100486,921712
100635,852005
100785,800927
100934,768061
101083,757254
101232,766482
101381,797160
101531,846483
101680,911254
101829,991828
101978,1078010
102127,1168710
102277,1264580
102426,1352180
102575,1436220
102724,1503540
102873,1557620
103023,1595560
103172,1609140
103321,1607640
103470,1584620
103619,1541010
103769,1483470
103918,1410400
104067,1328660
104216,1236300
104365,1142110
104515,1049440
104664,960166
104813,880935
104962,811668
105111,761860
105261,726676
105410,710988
105559,713683
105708,737725
105857,777768
106007,833652
106156,903816
106305,982881
106454,1067510
106603,1151530
106753,1240290
106902,1318400
107051,1386240
107200,1440760
107349,1482420
107499,1503910
107648,1510310
107797,1491920
107946,1458850
108095,1406460
108245,1341760
108394,1266320
108543,1176940
108692,1089900
108841,1000440
108991,915451
109140,838407
109289,771185
109438,716992
109587,683344
109737,664850
109886,664156
110035,682137
110184,716535
110333,766850
110483,828800
110632,902659
110781,981067
110930,1060780
111079,1141130
111229,1215400
111378,1278790
111527,1332730
111676,1373420
111825,1398610
111975,1406530
112124,1395140
112273,1368360
112422,1327360
112571,1267800
112721,1202260
112870,1122860
113019,1042090
113168,960980
113317,880902
113467,804550
113616,737499
113765,686422
113914,646570
114063,622683
114213,618174
114362,629798
114511,658186
114660,700971
114809,756392
114959,821540
115108,895718
115257,970696
115406,1047470
115555,1119440
115705,1185060
115854,1239800
116003,1280130
116152,1305520
116301,1313770
116451,1309390
116600,1290080
116749,1249500
116898,1199950
117047,1136080
117197,1067260
117346,987994
117495,915068
117644,837522
117793,766000
117943,704668
118092,652644
118241,614016
118390,587279
118539,579792
118689,585802
118838,607861
118987,645607
119136,693976
119285,752638
119435,819012
119584,887328
119733,958290
119882,1025610
120031,1087770
120181,1141950
120330,1184870
120479,1213480
120628,1228480
120777,1230130
120927,1213330
121076,1179810
121225,1138120
121374,1079750
121523,1017700
121673,946585
121822,875415
121971,803134
122120,733042
122269,671354
122419,620090
122568,578470
122717,551300
122866,540824
123015,543330
123165,560489
123314,591746
123463,637014
123612,688175
123761,749122
123911,815010
124060,882138
124209,946619
124358,1006450
124507,1057190
124657,1100170
124806,1127870
124955,1147160
125104,1144220
125253,1135700
125403,1109530
125552,1071710
125701,1022320
125850,964472
125999,902670
126149,835841
126298,767276
126447,703502
126596,644179
126745,593086
126895,551117
127044,522342
127193,509100
127342,506147
127491,517382
127641,544952
127790,580598
127939,627780
128088,684113
128237,744606
128387,804956
128536,867135
128685,924838
128834,975652
128983,1018230
129133,1049700
129282,1068290
129431,1074600
129580,1067610
129729,1045860
129879,1012960
130028,969476
130177,916088
130326,857990
130475,792722
130625,730538
130774,669840
130923,613212
131072,563437
131221,522684
131371,493266
131520,477356
131669,472980
131818,481516
131967,502668
132117,535208
132266,578025
132415,629122
132564,682058
132713,738832
132863,797511
133012,849645
133161,898152
133310,940843
133459,971278
133609,993522
133758,1001150
